period,date,winningNumber
2009347,2009-12-20,2030
2009348,2009-12-21,8274
2009349,2009-12-22,3072
2009350,2009-12-23,3359
2009351,2009-12-24,1598
2009352,2009-12-25,6224
2009353,2009-12-26,6671
2009354,2009-12-27,0754
2009355,2009-12-28,4429
2009356,2009-12-29,7843
2009357,2009-12-30,2551
2009358,2009-12-31,8234
2010001,2010-01-01,3278
2010002,2010-01-02,9819
2010003,2010-01-03,9152
2010004,2010-01-04,2326
2010005,2010-01-05,3873
2010006,2010-01-06,5270
2010007,2010-01-07,4252
2010008,2010-01-08,6452
2010009,2010-01-09,0374
2010010,2010-01-10,9290
2010011,2010-01-11,4208
2010012,2010-01-12,0807
2010013,2010-01-13,9372
2010014,2010-01-14,3946
2010015,2010-01-15,9560
2010016,2010-01-16,1081
2010017,2010-01-17,3830
2010018,2010-01-18,4366
2010019,2010-01-19,1843
2010020,2010-01-20,1700
2010021,2010-01-21,0848
2010022,2010-01-22,5705
2010023,2010-01-23,4515
2010024,2010-01-24,8379
2010025,2010-01-25,7466
2010026,2010-01-26,6854
2010027,2010-01-27,5004
2010028,2010-01-28,8940
2010029,2010-01-29,5508
2010030,2010-01-30,8026
2010031,2010-01-31,0158
2010032,2010-02-01,0938
2010033,2010-02-02,6681
2010034,2010-02-03,5694
2010035,2010-02-04,3496
2010036,2010-02-05,5684
2010037,2010-02-06,7788
2010038,2010-02-07,5960
2010039,2010-02-08,5116
2010040,2010-02-09,4016
2010041,2010-02-10,2367
2010042,2010-02-11,6010
2010043,2010-02-12,4080
2010044,2010-02-20,4156
2010045,2010-02-21,3682
2010046,2010-02-22,9618
2010047,2010-02-23,4009
2010048,2010-02-24,1219
2010049,2010-02-25,2594
2010050,2010-02-26,7354
2010051,2010-02-27,7343
2010052,2010-02-28,2043
2010053,2010-03-01,5489
2010054,2010-03-02,7966
2010055,2010-03-03,2300
2010056,2010-03-04,5347
2010057,2010-03-05,3744
2010058,2010-03-06,4118
2010059,2010-03-07,6271
2010060,2010-03-08,5708
2010061,2010-03-09,6099
2010062,2010-03-10,1466
2010063,2010-03-11,8447
2010064,2010-03-12,2680
2010065,2010-03-13,2080
2010066,2010-03-14,3604
2010067,2010-03-15,5889
2010068,2010-03-16,5979
2010069,2010-03-17,8510
2010070,2010-03-18,6693
2010071,2010-03-19,5782
2010072,2010-03-20,9707
2010073,2010-03-21,5550
2010074,2010-03-22,3490
2010075,2010-03-23,8540
2010076,2010-03-24,2715
2010077,2010-03-25,9925
2010078,2010-03-26,0498
2010079,2010-03-27,9578
2010080,2010-03-28,2645
2010081,2010-03-29,5980
2010082,2010-03-30,5084
2010083,2010-03-31,4680
2010084,2010-04-01,9228
2010085,2010-04-02,2967
2010086,2010-04-03,9684
2010087,2010-04-04,8144
2010088,2010-04-05,6081
2010089,2010-04-06,2418
2010090,2010-04-07,5901
2010091,2010-04-08,0707
2010092,2010-04-09,3056
2010093,2010-04-10,9747
2010094,2010-04-11,9588
2010095,2010-04-12,4708
2010096,2010-04-13,0593
2010097,2010-04-14,1463
2010098,2010-04-15,9363
2010099,2010-04-16,1685
2010100,2010-04-17,7180
2010101,2010-04-18,1431
2010102,2010-04-19,8880
2010103,2010-04-20,8122
2010104,2010-04-21,2443
2010105,2010-04-22,2849
2010106,2010-04-23,6978
2010107,2010-04-24,0538
2010108,2010-04-25,1309
2010109,2010-04-26,7760
2010110,2010-04-27,8134
2010111,2010-04-28,8718
2010112,2010-04-29,3775
2010113,2010-04-30,3423
2010114,2010-05-01,1303
2010115,2010-05-02,2219
2010116,2010-05-03,5037
2010117,2010-05-04,5657
2010118,2010-05-05,9684
2010119,2010-05-06,3322
2010120,2010-05-07,2193
2010121,2010-05-08,8292
2010122,2010-05-09,8325
2010123,2010-05-10,2612
2010124,2010-05-11,4730
2010125,2010-05-12,4888
2010126,2010-05-13,4836
2010127,2010-05-14,2774
2010128,2010-05-15,9139
2010129,2010-05-16,1012
2010130,2010-05-17,3950
2010131,2010-05-18,3369
2010132,2010-05-19,5453
2010133,2010-05-20,3430
2010134,2010-05-21,3587
2010135,2010-05-22,4098
2010136,2010-05-23,9262
2010137,2010-05-24,7764
2010138,2010-05-25,7283
2010139,2010-05-26,0453
2010140,2010-05-27,6349
2010141,2010-05-28,8315
2010142,2010-05-29,2613
2010143,2010-05-30,3703
2010144,2010-05-31,8660
2010145,2010-06-01,9347
2010146,2010-06-02,8142
2010147,2010-06-03,0069
2010148,2010-06-04,2788
2010149,2010-06-05,9649
2010150,2010-06-06,1012
2010151,2010-06-07,3091
2010152,2010-06-08,9971
2010153,2010-06-09,0068
2010154,2010-06-10,0693
2010155,2010-06-11,3316
2010156,2010-06-12,1389
2010157,2010-06-13,7080
2010158,2010-06-14,4801
2010159,2010-06-15,6446
2010160,2010-06-16,8787
2010161,2010-06-17,6378
2010162,2010-06-18,0131
2010163,2010-06-19,1345
2010164,2010-06-20,6847
2010165,2010-06-21,8421
2010166,2010-06-22,7863
2010167,2010-06-23,0943
2010168,2010-06-24,6777
2010169,2010-06-25,8444
2010170,2010-06-26,7399
2010171,2010-06-27,8087
2010172,2010-06-28,2391
2010173,2010-06-29,4066
2010174,2010-06-30,8418
2010175,2010-07-01,5697
2010176,2010-07-02,7705
2010177,2010-07-03,1945
2010178,2010-07-04,3566
2010179,2010-07-05,5192
2010180,2010-07-06,0885
2010181,2010-07-07,8068
2010182,2010-07-08,9474
2010183,2010-07-09,3371
2010184,2010-07-10,8202
2010185,2010-07-11,1357
2010186,2010-07-12,2842
2010187,2010-07-13,4158
2010188,2010-07-14,6811
2010189,2010-07-15,9184
2010190,2010-07-16,7575
2010191,2010-07-17,3533
2010192,2010-07-18,6132
2010193,2010-07-19,1119
2010194,2010-07-20,1488
2010195,2010-07-21,8043
2010196,2010-07-22,0521
2010197,2010-07-23,7787
2010198,2010-07-24,4663
2010199,2010-07-25,9884
2010200,2010-07-26,2065
2010201,2010-07-27,1800
2010202,2010-07-28,0533
2010203,2010-07-29,1068
2010204,2010-07-30,0363
2010205,2010-07-31,0471
2010206,2010-08-01,3530
2010207,2010-08-02,8281
2010208,2010-08-03,4672
2010209,2010-08-04,0815
2010210,2010-08-05,8097
2010211,2010-08-06,9325
2010212,2010-08-07,7850
2010213,2010-08-08,3914
2010214,2010-08-09,1246
2010215,2010-08-10,6672
2010216,2010-08-11,8247
2010217,2010-08-12,8932
2010218,2010-08-13,2452
2010219,2010-08-14,6855
2010220,2010-08-15,2951
2010221,2010-08-16,6838
2010222,2010-08-17,1404
2010223,2010-08-18,5740
2010224,2010-08-19,6745
2010225,2010-08-20,9973
2010226,2010-08-21,5043
2010227,2010-08-22,2392
2010228,2010-08-23,9478
2010229,2010-08-24,6765
2010230,2010-08-25,8540
2010231,2010-08-26,0660
2010232,2010-08-27,1950
2010233,2010-08-28,5342
2010234,2010-08-29,3792
2010235,2010-08-30,3007
2010236,2010-08-31,1739
2010237,2010-09-01,9038
2010238,2010-09-02,6878
2010239,2010-09-03,4141
2010240,2010-09-04,3315
2010241,2010-09-05,2512
2010242,2010-09-06,0953
2010243,2010-09-07,4886
2010244,2010-09-08,4823
2010245,2010-09-09,4843
2010246,2010-09-10,5307
2010247,2010-09-11,8850
2010248,2010-09-12,2048
2010249,2010-09-13,6954
2010250,2010-09-14,0827
2010251,2010-09-15,6989
2010252,2010-09-16,2995
2010253,2010-09-17,6759
2010254,2010-09-18,3580
2010255,2010-09-19,9718
2010256,2010-09-20,1795
2010257,2010-09-21,9696
2010258,2010-09-22,9585
2010259,2010-09-23,2435
2010260,2010-09-24,8818
2010261,2010-09-25,3337
2010262,2010-09-26,1859
2010263,2010-09-27,4252
2010264,2010-09-28,4452
2010265,2010-09-29,8467
2010266,2010-09-30,2358
2010267,2010-10-01,7039
2010268,2010-10-02,5931
2010269,2010-10-03,1633
2010270,2010-10-04,1171
2010271,2010-10-05,5211
2010272,2010-10-06,6706
2010273,2010-10-07,7726
2010274,2010-10-08,4111
2010275,2010-10-09,6802
2010276,2010-10-10,2801
2010277,2010-10-11,6238
2010278,2010-10-12,1885
2010279,2010-10-13,6854
2010280,2010-10-14,1524
2010281,2010-10-15,2732
2010282,2010-10-16,5383
2010283,2010-10-17,0470
2010284,2010-10-18,2103
2010285,2010-10-19,7474
2010286,2010-10-20,9609
2010287,2010-10-21,1673
2010288,2010-10-22,4603
2010289,2010-10-23,1347
2010290,2010-10-24,3997
2010291,2010-10-25,1507
2010292,2010-10-26,1224
2010293,2010-10-27,1292
2010294,2010-10-28,0403
2010295,2010-10-29,2382
2010296,2010-10-30,4489
2010297,2010-10-31,5202
2010298,2010-11-01,7866
2010299,2010-11-02,2258
2010300,2010-11-03,5969
2010301,2010-11-04,3560
2010302,2010-11-05,0911
2010303,2010-11-06,0700
2010304,2010-11-07,3329
2010305,2010-11-08,9373
2010306,2010-11-09,4057
2010307,2010-11-10,2194
2010308,2010-11-11,2323
2010309,2010-11-12,0265
2010310,2010-11-13,3870
2010311,2010-11-14,5982
2010312,2010-11-15,1380
2010313,2010-11-16,8780
2010314,2010-11-17,6756
2010315,2010-11-18,0557
2010316,2010-11-19,3299
2010317,2010-11-20,1824
2010318,2010-11-21,4543
2010319,2010-11-22,7337
2010320,2010-11-23,2839
2010321,2010-11-24,0272
2010322,2010-11-25,8409
2010323,2010-11-26,4744
2010324,2010-11-27,1278
2010325,2010-11-28,8460
2010326,2010-11-29,1594
2010327,2010-11-30,3760
2010328,2010-12-01,8539
2010329,2010-12-02,3663
2010330,2010-12-03,6817
2010331,2010-12-04,4430
2010332,2010-12-05,4249
2010333,2010-12-06,8673
2010334,2010-12-07,3541
2010335,2010-12-08,6553
2010336,2010-12-09,8786
2010337,2010-12-10,8952
2010338,2010-12-11,7547
2010339,2010-12-12,5996
2010340,2010-12-13,0944
2010341,2010-12-14,9431
2010342,2010-12-15,3765
2010343,2010-12-16,1683
2010344,2010-12-17,3323
2010345,2010-12-18,7411
2010346,2010-12-19,3838
2010347,2010-12-20,3229
2010348,2010-12-21,4847
2010349,2010-12-22,6707
2010350,2010-12-23,8905
2010351,2010-12-24,5725
2010352,2010-12-25,1124
2010353,2010-12-26,1697
2010354,2010-12-27,1675
2010355,2010-12-28,5459
2010356,2010-12-29,8687
2010357,2010-12-30,1713
2010358,2010-12-31,3115
2011001,2011-01-01,9285
2011002,2011-01-02,6760
2011003,2011-01-03,9339
2011004,2011-01-04,5505
2011005,2011-01-05,4917
2011006,2011-01-06,3599
2011007,2011-01-07,8849
2011008,2011-01-08,5344
2011009,2011-01-09,1566
2011010,2011-01-10,9173
2011011,2011-01-11,5022
2011012,2011-01-12,6875
2011013,2011-01-13,1872
2011014,2011-01-14,8108
2011015,2011-01-15,7173
2011016,2011-01-16,8160
2011017,2011-01-17,1847
2011018,2011-01-18,9038
2011019,2011-01-19,3287
2011020,2011-01-20,5787
2011021,2011-01-21,5787
2011022,2011-01-22,0089
2011023,2011-01-23,7414
2011024,2011-01-24,4875
2011025,2011-01-25,3523
2011026,2011-01-26,7972
2011027,2011-01-27,2129
2011028,2011-01-28,1342
2011029,2011-01-29,3654
2011030,2011-01-30,4933
2011031,2011-01-31,8649
2011032,2011-02-01,3492
2011033,2011-02-09,0628
2011034,2011-02-10,4894
2011035,2011-02-11,7449
2011036,2011-02-12,1638
2011037,2011-02-13,7057
2011038,2011-02-14,0164
2011039,2011-02-15,2607
2011040,2011-02-16,1170
2011041,2011-02-17,4495
2011042,2011-02-18,3378
2011043,2011-02-19,2869
2011044,2011-02-20,4168
2011045,2011-02-21,5791
2011046,2011-02-22,9094
2011047,2011-02-23,3671
2011048,2011-02-24,6216
2011049,2011-02-25,4596
2011050,2011-02-26,0674
2011051,2011-02-27,6844
2011052,2011-02-28,5095
2011053,2011-03-01,8355
2011054,2011-03-02,7604
2011055,2011-03-03,8359
2011056,2011-03-04,6092
2011057,2011-03-05,3664
2011058,2011-03-06,6644
2011059,2011-03-07,3982
2011060,2011-03-08,1448
2011061,2011-03-09,4165
2011062,2011-03-10,6280
2011063,2011-03-11,1415
2011064,2011-03-12,6901
2011065,2011-03-13,7211
2011066,2011-03-14,0790
2011067,2011-03-15,4131
2011068,2011-03-16,5008
2011069,2011-03-17,2859
2011070,2011-03-18,8924
2011071,2011-03-19,0714
2011072,2011-03-20,7992
2011073,2011-03-21,0638
2011074,2011-03-22,7844
2011075,2011-03-23,9533
2011076,2011-03-24,6677
2011077,2011-03-25,7875
2011078,2011-03-26,5449
2011079,2011-03-27,8234
2011080,2011-03-28,9432
2011081,2011-03-29,7486
2011082,2011-03-30,1710
2011083,2011-03-31,8357
2011084,2011-04-01,2521
2011085,2011-04-02,9958
2011086,2011-04-03,9412
2011087,2011-04-04,0922
2011088,2011-04-05,6707
2011089,2011-04-06,1240
2011090,2011-04-07,0877
2011091,2011-04-08,2221
2011092,2011-04-09,7490
2011093,2011-04-10,5004
2011094,2011-04-11,1595
2011095,2011-04-12,8447
2011096,2011-04-13,0974
2011097,2011-04-14,6791
2011098,2011-04-15,1879
2011099,2011-04-16,8294
2011100,2011-04-17,2328
2011101,2011-04-18,2758
2011102,2011-04-19,9098
2011103,2011-04-20,4720
2011104,2011-04-21,5890
2011105,2011-04-22,7007
2011106,2011-04-23,6501
2011107,2011-04-24,9241
2011108,2011-04-25,3307
2011109,2011-04-26,2224
2011110,2011-04-27,3510
2011111,2011-04-28,2524
2011112,2011-04-29,0984
2011113,2011-04-30,7332
2011114,2011-05-01,3989
2011115,2011-05-02,3751
2011116,2011-05-03,7409
2011117,2011-05-04,7041
2011118,2011-05-05,0756
2011119,2011-05-06,2950
2011120,2011-05-07,9832
2011121,2011-05-08,6495
2011122,2011-05-09,0339
2011123,2011-05-10,5359
2011124,2011-05-11,7741
2011125,2011-05-12,3273
2011126,2011-05-13,2998
2011127,2011-05-14,5436
2011128,2011-05-15,7334
2011129,2011-05-16,4205
2011130,2011-05-17,0596
2011131,2011-05-18,2338
2011132,2011-05-19,6529
2011133,2011-05-20,4875
2011134,2011-05-21,4193
2011135,2011-05-22,4372
2011136,2011-05-23,3961
2011137,2011-05-24,2432
2011138,2011-05-25,9071
2011139,2011-05-26,5386
2011140,2011-05-27,8078
2011141,2011-05-28,6398
2011142,2011-05-29,8898
2011143,2011-05-30,0528
2011144,2011-05-31,1242
2011145,2011-06-01,1072
2011146,2011-06-02,3794
2011147,2011-06-03,8872
2011148,2011-06-04,5895
2011149,2011-06-05,8846
2011150,2011-06-06,8655
2011151,2011-06-07,9856
2011152,2011-06-08,9741
2011153,2011-06-09,6295
2011154,2011-06-10,7654
2011155,2011-06-11,6522
2011156,2011-06-12,2410
2011157,2011-06-13,4193
2011158,2011-06-14,1046
2011159,2011-06-15,8969
2011160,2011-06-16,7130
2011161,2011-06-17,8157
2011162,2011-06-18,2394
2011163,2011-06-19,3786
2011164,2011-06-20,6891
2011165,2011-06-21,5785
2011166,2011-06-22,8268
2011167,2011-06-23,4620
2011168,2011-06-24,2970
2011169,2011-06-25,5207
2011170,2011-06-26,3535
2011171,2011-06-27,9916
2011172,2011-06-28,2667
2011173,2011-06-29,9172
2011174,2011-06-30,3109
2011175,2011-07-01,9097
2011176,2011-07-02,5721
2011177,2011-07-03,8432
2011178,2011-07-04,1901
2011179,2011-07-05,1233
2011180,2011-07-06,5538
2011181,2011-07-07,5999
2011182,2011-07-08,2620
2011183,2011-07-09,7931
2011184,2011-07-10,0398
2011185,2011-07-11,4578
2011186,2011-07-12,7759
2011187,2011-07-13,8126
2011188,2011-07-14,7680
2011189,2011-07-15,0038
2011190,2011-07-16,1257
2011191,2011-07-17,4197
2011192,2011-07-18,8122
2011193,2011-07-19,7005
2011194,2011-07-20,8898
2011195,2011-07-21,8610
2011196,2011-07-22,7081
2011197,2011-07-23,3184
2011198,2011-07-24,6684
2011199,2011-07-25,0049
2011200,2011-07-26,7696
2011201,2011-07-27,6795
2011202,2011-07-28,6339
2011203,2011-07-29,5838
2011204,2011-07-30,5878
2011205,2011-07-31,6759
2011206,2011-08-01,8529
2011207,2011-08-02,6481
2011208,2011-08-03,6156
2011209,2011-08-04,2813
2011210,2011-08-05,9766
2011211,2011-08-06,3266
2011212,2011-08-07,3316
2011213,2011-08-08,8065
2011214,2011-08-09,2541
2011215,2011-08-10,7976
2011216,2011-08-11,5067
2011217,2011-08-12,6072
2011218,2011-08-13,9056
2011219,2011-08-14,5474
2011220,2011-08-15,6046
2011221,2011-08-16,3694
2011222,2011-08-17,4359
2011223,2011-08-18,6772
2011224,2011-08-19,4789
2011225,2011-08-20,8869
2011226,2011-08-21,6326
2011227,2011-08-22,8210
2011228,2011-08-23,3249
2011229,2011-08-24,1052
2011230,2011-08-25,8744
2011231,2011-08-26,8539
2011232,2011-08-27,9231
2011233,2011-08-28,5619
2011234,2011-08-29,0932
2011235,2011-08-30,3040
2011236,2011-08-31,7372
2011237,2011-09-01,3724
2011238,2011-09-02,0137
2011239,2011-09-03,8826
2011240,2011-09-04,0863
2011241,2011-09-05,6483
2011242,2011-09-06,9677
2011243,2011-09-07,7215
2011244,2011-09-08,9623
2011245,2011-09-09,3105
2011246,2011-09-10,0146
2011247,2011-09-11,4301
2011248,2011-09-12,4429
2011249,2011-09-13,7565
2011250,2011-09-14,3437
2011251,2011-09-15,4317
2011252,2011-09-16,4324
2011253,2011-09-17,6101
2011254,2011-09-18,8530
2011255,2011-09-19,5461
2011256,2011-09-20,9853
2011257,2011-09-21,1616
2011258,2011-09-22,3708
2011259,2011-09-23,8676
2011260,2011-09-24,6539
2011261,2011-09-25,5877
2011262,2011-09-26,9251
2011263,2011-09-27,5032
2011264,2011-09-28,3796
2011265,2011-09-29,4985
2011266,2011-09-30,4988
2011267,2011-10-01,7863
2011268,2011-10-02,3781
2011269,2011-10-03,8768
2011270,2011-10-04,1553
2011271,2011-10-05,0148
2011272,2011-10-06,9466
2011273,2011-10-07,8321
2011274,2011-10-08,3595
2011275,2011-10-09,0599
2011276,2011-10-10,8806
2011277,2011-10-11,3243
2011278,2011-10-12,9518
2011279,2011-10-13,3821
2011280,2011-10-14,8750
2011281,2011-10-15,2148
2011282,2011-10-16,8938
2011283,2011-10-17,9057
2011284,2011-10-18,2056
2011285,2011-10-19,2647
2011286,2011-10-20,2314
2011287,2011-10-21,6720
2011288,2011-10-22,6294
2011289,2011-10-23,5044
2011290,2011-10-24,6044
2011291,2011-10-25,0934
2011292,2011-10-26,3931
2011293,2011-10-27,2564
2011294,2011-10-28,9593
2011295,2011-10-29,3299
2011296,2011-10-30,8335
2011297,2011-10-31,4583
2011298,2011-11-01,0998
2011299,2011-11-02,0068
2011300,2011-11-03,8222
2011301,2011-11-04,6417
2011302,2011-11-05,4966
2011303,2011-11-06,1075
2011304,2011-11-07,3229
2011305,2011-11-08,1163
2011306,2011-11-09,6266
2011307,2011-11-10,9907
2011308,2011-11-11,6697
2011309,2011-11-12,7739
2011310,2011-11-13,8251
2011311,2011-11-14,0943
2011312,2011-11-15,3659
2011313,2011-11-16,4664
2011314,2011-11-17,7834
2011315,2011-11-18,3749
2011316,2011-11-19,5389
2011317,2011-11-20,4922
2011318,2011-11-21,4133
2011319,2011-11-22,3561
2011320,2011-11-23,8703
2011321,2011-11-24,3655
2011322,2011-11-25,3689
2011323,2011-11-26,4729
2011324,2011-11-27,1561
2011325,2011-11-28,0390
2011326,2011-11-29,0920
2011327,2011-11-30,4656
2011328,2011-12-01,8111
2011329,2011-12-02,6484
2011330,2011-12-03,8888
2011331,2011-12-04,9435
2011332,2011-12-05,8972
2011333,2011-12-06,3520
2011334,2011-12-07,8035
2011335,2011-12-08,4362
2011336,2011-12-09,7471
2011337,2011-12-10,3876
2011338,2011-12-11,8883
2011339,2011-12-12,5141
2011340,2011-12-13,9737
2011341,2011-12-14,8745
2011342,2011-12-15,2042
2011343,2011-12-16,9616
2011344,2011-12-17,3601
2011345,2011-12-18,2964
2011346,2011-12-19,4949
2011347,2011-12-20,2907
2011348,2011-12-21,2272
2011349,2011-12-22,0007
2011350,2011-12-23,9276
2011351,2011-12-24,3001
2011352,2011-12-25,1426
2011353,2011-12-26,0681
2011354,2011-12-27,3012
2011355,2011-12-28,5180
2011356,2011-12-29,4704
2011357,2011-12-30,2394
2011358,2011-12-31,7259
2012001,2012-01-01,0036
2012002,2012-01-02,4099
2012003,2012-01-03,1819
2012004,2012-01-04,9894
2012005,2012-01-05,6099
2012006,2012-01-06,3642
2012007,2012-01-07,6824
2012008,2012-01-08,8246
2012009,2012-01-09,3162
2012010,2012-01-10,0397
2012011,2012-01-11,9146
2012012,2012-01-12,4134
2012013,2012-01-13,3495
2012014,2012-01-14,0855
2012015,2012-01-15,2344
2012016,2012-01-16,7654
2012017,2012-01-17,5153
2012018,2012-01-18,4654
2012019,2012-01-19,8557
2012020,2012-01-20,0190
2012021,2012-01-21,1389
2012022,2012-01-29,6444
2012023,2012-01-30,7410
2012024,2012-01-31,3348
2012025,2012-02-01,9971
2012026,2012-02-02,8339
2012027,2012-02-03,0065
2012028,2012-02-04,6894
2012029,2012-02-05,7791
2012030,2012-02-06,6650
2012031,2012-02-07,9881
2012032,2012-02-08,5039
2012033,2012-02-09,1276
2012034,2012-02-10,7416
2012035,2012-02-11,2746
2012036,2012-02-12,0340
2012037,2012-02-13,4431
2012038,2012-02-14,5285
2012039,2012-02-15,8552
2012040,2012-02-16,8185
2012041,2012-02-17,3416
2012042,2012-02-18,8412
2012043,2012-02-19,3521
2012044,2012-02-20,6831
2012045,2012-02-21,4212
2012046,2012-02-22,3733
2012047,2012-02-23,4962
2012048,2012-02-24,8331
2012049,2012-02-25,0449
2012050,2012-02-26,7783
2012051,2012-02-27,4671
2012052,2012-02-28,8414
2012053,2012-02-29,5359
2012054,2012-03-01,0572
2012055,2012-03-02,0665
2012056,2012-03-03,1438
2012057,2012-03-04,6915
2012058,2012-03-05,2594
2012059,2012-03-06,3466
2012060,2012-03-07,4240
2012061,2012-03-08,7136
2012062,2012-03-09,3503
2012063,2012-03-10,7730
2012064,2012-03-11,8312
2012065,2012-03-12,3638
2012066,2012-03-13,0840
2012067,2012-03-14,4225
2012068,2012-03-15,9256
2012069,2012-03-16,7210
2012070,2012-03-17,3003
2012071,2012-03-18,6136
2012072,2012-03-19,9987
2012073,2012-03-20,4642
2012074,2012-03-21,2769
2012075,2012-03-22,9896
2012076,2012-03-23,0787
2012077,2012-03-24,4123
2012078,2012-03-25,6605
2012079,2012-03-26,0104
2012080,2012-03-27,7724
2012081,2012-03-28,3994
2012082,2012-03-29,9903
2012083,2012-03-30,6880
2012084,2012-03-31,2389
2012085,2012-04-01,4784
2012086,2012-04-02,7161
2012087,2012-04-03,6842
2012088,2012-04-04,5353
2012089,2012-04-05,2216
2012090,2012-04-06,6826
2012091,2012-04-07,8357
2012092,2012-04-08,7392
2012093,2012-04-09,6712
2012094,2012-04-10,6080
2012095,2012-04-11,9564
2012096,2012-04-12,7498
2012097,2012-04-13,6828
2012098,2012-04-14,6114
2012099,2012-04-15,1054
2012100,2012-04-16,4896
2012101,2012-04-17,3777
2012102,2012-04-18,9552
2012103,2012-04-19,2734
2012104,2012-04-20,3881
2012105,2012-04-21,5421
2012106,2012-04-22,6824
2012107,2012-04-23,2691
2012108,2012-04-24,3998
2012109,2012-04-25,2413
2012110,2012-04-26,7044
2012111,2012-04-27,4616
2012112,2012-04-28,7507
2012113,2012-04-29,4328
2012114,2012-04-30,0792
2012115,2012-05-01,0290
2012116,2012-05-02,4718
2012117,2012-05-03,0424
2012118,2012-05-04,8043
2012119,2012-05-05,8367
2012120,2012-05-06,4690
2012121,2012-05-07,6709
2012122,2012-05-08,4742
2012123,2012-05-09,6226
2012124,2012-05-10,9010
2012125,2012-05-11,6783
2012126,2012-05-12,2810
2012127,2012-05-13,2053
2012128,2012-05-14,1780
2012129,2012-05-15,9219
2012130,2012-05-16,2110
2012131,2012-05-17,5866
2012132,2012-05-18,6269
2012133,2012-05-19,6388
2012134,2012-05-20,0497
2012135,2012-05-21,5695
2012136,2012-05-22,7209
2012137,2012-05-23,8827
2012138,2012-05-24,3845
2012139,2012-05-25,7195
2012140,2012-05-26,0449
2012141,2012-05-27,2501
2012142,2012-05-28,9675
2012143,2012-05-29,9906
2012144,2012-05-30,2780
2012145,2012-05-31,8563
2012146,2012-06-01,7286
2012147,2012-06-02,5680
2012148,2012-06-03,5242
2012149,2012-06-04,9404
2012150,2012-06-05,5985
2012151,2012-06-06,6137
2012152,2012-06-07,7390
2012153,2012-06-08,3839
2012154,2012-06-09,2064
2012155,2012-06-10,8954
2012156,2012-06-11,4402
2012157,2012-06-12,5995
2012158,2012-06-13,7724
2012159,2012-06-14,9572
2012160,2012-06-15,9700
2012161,2012-06-16,5322
2012162,2012-06-17,2435
2012163,2012-06-18,6937
2012164,2012-06-19,7187
2012165,2012-06-20,0469
2012166,2012-06-21,8628
2012167,2012-06-22,2891
2012168,2012-06-23,6519
2012169,2012-06-24,7207
2012170,2012-06-25,7887
2012171,2012-06-26,7350
2012172,2012-06-27,4378
2012173,2012-06-28,5975
2012174,2012-06-29,2180
2012175,2012-06-30,0582
2012176,2012-07-01,4000
2012177,2012-07-02,0189
2012178,2012-07-03,3575
2012179,2012-07-04,1451
2012180,2012-07-05,9901
2012181,2012-07-06,6931
2012182,2012-07-07,4567
2012183,2012-07-08,7950
2012184,2012-07-09,1693
2012185,2012-07-10,4608
2012186,2012-07-11,6736
2012187,2012-07-12,9622
2012188,2012-07-13,6387
2012189,2012-07-14,4189
2012190,2012-07-15,3133
2012191,2012-07-16,5843
2012192,2012-07-17,5769
2012193,2012-07-18,2690
2012194,2012-07-19,1590
2012195,2012-07-20,2138
2012196,2012-07-21,9933
2012197,2012-07-22,5466
2012198,2012-07-23,1129
2012199,2012-07-24,8496
2012200,2012-07-25,2829
2012201,2012-07-26,7909
2012202,2012-07-27,1025
2012203,2012-07-28,1763
2012204,2012-07-29,3615
2012205,2012-07-30,9786
2012206,2012-07-31,6087
2012207,2012-08-01,7904
2012208,2012-08-02,7571
2012209,2012-08-03,2271
2012210,2012-08-04,5741
2012211,2012-08-05,4272
2012212,2012-08-06,1440
2012213,2012-08-07,6815
2012214,2012-08-08,3213
2012215,2012-08-09,0385
2012216,2012-08-10,7750
2012217,2012-08-11,8715
2012218,2012-08-12,1703
2012219,2012-08-13,9353
2012220,2012-08-14,0998
2012221,2012-08-15,3354
2012222,2012-08-16,2402
2012223,2012-08-17,3609
2012224,2012-08-18,5402
2012225,2012-08-19,4533
2012226,2012-08-20,0104
2012227,2012-08-21,7215
2012228,2012-08-22,0811
2012229,2012-08-23,4616
2012230,2012-08-24,6446
2012231,2012-08-25,7630
2012232,2012-08-26,1471
2012233,2012-08-27,2506
2012234,2012-08-28,6112
2012235,2012-08-29,4609
2012236,2012-08-30,9293
2012237,2012-08-31,0492
2012238,2012-09-01,0978
2012239,2012-09-02,0717
2012240,2012-09-03,0639
2012241,2012-09-04,5025
2012242,2012-09-05,9683
2012243,2012-09-06,1451
2012244,2012-09-07,4535
2012245,2012-09-08,2329
2012246,2012-09-09,5715
2012247,2012-09-10,1140
2012248,2012-09-11,9407
2012249,2012-09-12,5759
2012250,2012-09-13,9995
2012251,2012-09-14,1085
2012252,2012-09-15,8928
2012253,2012-09-16,8933
2012254,2012-09-17,6791
2012255,2012-09-18,4044
2012256,2012-09-19,0924
2012257,2012-09-20,3555
2012258,2012-09-21,7944
2012259,2012-09-22,0818
2012260,2012-09-23,4570
2012261,2012-09-24,6867
2012262,2012-09-25,5067
2012263,2012-09-26,4363
2012264,2012-09-27,0920
2012265,2012-09-28,8654
2012266,2012-09-29,1007
2012267,2012-09-30,4467
2012268,2012-10-01,6306
2012269,2012-10-02,1531
2012270,2012-10-03,5213
2012271,2012-10-04,6569
